,tweet,topic,sentiment
0,"Covid19 is not a pandemic,  it is a Genocide. #FamilyMeeting #4thWave#Omicron",,
1,El Salvador Buys 100 More Bitcoins Amid Crypto Sell-Offs and New Covid-19 Variant Scare https://t.co/9kq8QE7EDZ https://t.co/gdECQEUMfR,,
2,"Concerned about #Omicron? This is a very useful context piece on the hunt for variants generally, on Omicron specifically, and drawing on input from several subject matter experts in South Africa 👇(Re-published by Covid Aid from @TC_Africa) https://t.co/piSkD5uvQP",,
3,@andrew_lilico @spectator Tyranny wtf are you talking about were trying to help end a pandemic what is the matter with you ffs,,
4,"@alisoncook Where do they come up with this stuff? More importantly, why are they given free rein to lie? They’re all required to wear masks and be vaccinated.",,
5,"#Pakistan placed a complete ban on Saturday on travel from seven countries in the wake of the discovery of a new variant of the #coronavirus, Omicron, first detected in #SouthAfrica, according to a notification issued by the National Command &amp; Operation Centre (#NCOC).#Omicron https://t.co/zHT9iXkJ5b",,
6,"""A stubborn, selfish, me-first individualism.""https://t.co/IgIfBR93jE",,
7,You know how glass reflection makes it hard to scan COVID tracing QR posters......are we about to have the same with laminated vaccine passes?,,
8,"@KostaKochoRacin @JoshButler @tilly64 Fingers crossed. The other factor is how much the current vaccines offer protection. Too early for stat’s. Southern Africa has a really low vaccine rate (less than 30%, I think 29%) so it ran rampant. We must learn the lessons and shut borders for few weeks.",,
9,"5) Many cite reasons for not wearing a mask, yet ""Experts say there are very few medical reasons for people to skip masks."". Most people granted exceptions have put pressure on overstretched GPs and don't deserve exemptions, most of which are spurious.https://t.co/arRoUEWFSP",,
10,"@byKPMurphy @F_Dev1888 @trevor8sinclair Oh no that’s right, they rely on the ones that tow the line and stonewall vaccine victims and their families.",,
11,pls tell me we are NOT having another fucking covid outbreak i'm gonna cry,,
12,@saarwilf @CaulfieldTim @globeandmail @picardonhealth @DrJenGunter @GidMK @aetiology @ScienceUpFirst This dr is vaccinated and supports vaccination but is quite level headed and lays out the studies in an easy way to understand . Honestly worth a watch. Maybe say supplements are not a cure but could help / be open minded or actually do research on it before calling b.s,,
13,Financial assistance to family members of persons died of COVID19 in Gujarat- SG Tushar Mehta: We have filed a fresh affidavit pursuant to the concern and discussion of your lordship.,,
14,U.K. extends boosters to all adults while announcing two new Omicron cases. https://t.co/TRMgAk4lmR,,
15,"@NYCHealthCommr So, um, about school ventilation.. https://t.co/risArDCsxO",,
