tweet	topic	sentiment
covid19 pandemic genocide #familymeeting #4thwave#omicron	o	-1
el salvador buys 100 bitcoins amid crypto selloffs covid19 variant scare	g	0
concerned #omicron useful context piece hunt variants omicron specifically drawing input subject matter experts south africa republished covid aid	s	1
tyranny wtf talking trying help pandemic matter ffs	o	-1
stuff importantly free rein lie theyre required wear masks vaccinated	m	0
#pakistan placed complete ban saturday travel seven countries wake discovery variant #coronavirus omicron detected #southafrica according notification issued national command operation centre #ncoc#omicron	g	0
stubborn selfish mefirst	o	-1
glass reflection makes hard scan covid tracing qr postersare laminated vaccine passes	m	-1
fingers crossed factor current vaccines offer protection stats southern africa low vaccine rate 30 29 ran rampant learn lessons shut borders weeks	s	1
5 cite reasons wearing mask experts medical reasons people skip masks people granted exceptions pressure overstretched gps dont deserve exemptions	s	0
oh thats rely ones tow line stonewall vaccine victims families	a	-1
pls tell fucking covid outbreak im gonna cry	o	-1
dr vaccinated supports vaccination level headed lays studies easy understand honestly worth watch maybe supplements cure help minded actually research calling bs	s	1
financial assistance family persons died covid19 gujarat sg tushar mehta filed fresh affidavit pursuant concern discussion lordship	m	1
uk extends boosters adults announcing omicron	m	1
um school ventilation	m	0
reggae walk fame #trelawny #stadium #falmouth covid19 compliant #jtb licenced attraction cruise compliant tba reggae 4202022 18764358401 4049104463 reggaeinthesun@gmailcom sponsorship partners welcome tell friend seenlove	m	1
edge markets astrazeneca examining impact covid19 variant vaccine antibody	s	0
spain bans nonvaccinated britons israel shuts borders visitors	g	0
euuurghhh ill admit concern mine folks vibe re covid isnt	o	-1
thats related covid	o	0
pandemic multiple waves spanning yearseven spanish flu waves people smarter stopped falling waves	o	-1
theyve trying meet armys dont due pandemic	m	-1
vaccinated	p	0
swear anti vaxxers handle pandemic sick heres billionaires politicians vaccinated wont admit dying favor	p	-1
nsw health changes advice travellers southern africa response covid19 variant abc news	g	0
covid19 vaccine ingredients	s	0
russia ruled cathrine smallpox pandemic broke inoculated technology time lead example inoculation available entire country leaders lead force	g	1
thanks am scheduled receive #moderna booster shot saturday	p	1
5854 people reported infected covid19 thailand#covid19 #thaipbsworld	s	0
goryanyway genuine question medicsif person covid developed somewhat immunity vaccinateisnt natural immunity desirable	s	0
looks bad variant vaccine resistant thats scary	o	-1
death vaccine wish people	p	0
listening ny radio day jeep am stations story omicron variant guy kept pronouncing spanish accent ohmecrohn rolled greek omicron looks ohmicrahn	o	1
kids develop filter expectations kids pandemic lot adults screwing waiting sea change	m	1
bc buying house car exactly researching vaccine	s	0
life im originally edmonton cold tons family planning visit covid happened life	m	-1
omicron variant symptoms look	s	0
icymi politico gov cuomo wasnt pandemic leader daily cuomo management press conference #news #election2020	g	-1
200 achieve vaccineinduced eradication whiny little boy 2	ov	0
valneva vaccines cancelled uk months ago key beating omicron strain	ov	0
postpone elections 5 india fight omicron virus effectively	g	0
